filename,label
masked_esca (507).JPG,Grape___Esca_(Black_Measles)
masked_esca (1261).JPG,Grape___Esca_(Black_Measles)
masked_esca (962).JPG,Grape___Esca_(Black_Measles)
masked_esca (1155).JPG,Grape___Esca_(Black_Measles)
masked_esca (784).JPG,Grape___Esca_(Black_Measles)
masked_esca (786).JPG,Grape___Esca_(Black_Measles)
masked_esca (954).JPG,Grape___Esca_(Black_Measles)
masked_esca (614).JPG,Grape___Esca_(Black_Measles)
masked_esca (1269).JPG,Grape___Esca_(Black_Measles)
masked_esca (1199).JPG,Grape___Esca_(Black_Measles)
masked_esca (192).JPG,Grape___Esca_(Black_Measles)
masked_esca (756).JPG,Grape___Esca_(Black_Measles)
masked_esca (608).JPG,Grape___Esca_(Black_Measles)
masked_esca (1294).JPG,Grape___Esca_(Black_Measles)
masked_esca (777).JPG,Grape___Esca_(Black_Measles)
masked_esca (712).JPG,Grape___Esca_(Black_Measles)
masked_esca (511).JPG,Grape___Esca_(Black_Measles)
masked_esca (856).JPG,Grape___Esca_(Black_Measles)
masked_esca (973).JPG,Grape___Esca_(Black_Measles)
masked_esca (259).JPG,Grape___Esca_(Black_Measles)
masked_esca (752).JPG,Grape___Esca_(Black_Measles)
masked_esca (780).JPG,Grape___Esca_(Black_Measles)
masked_esca (1025).JPG,Grape___Esca_(Black_Measles)
masked_esca (166).JPG,Grape___Esca_(Black_Measles)
masked_esca (985).JPG,Grape___Esca_(Black_Measles)
masked_esca (1019).JPG,Grape___Esca_(Black_Measles)
masked_esca (1102).JPG,Grape___Esca_(Black_Measles)
masked_esca (891).JPG,Grape___Esca_(Black_Measles)
masked_esca (706).JPG,Grape___Esca_(Black_Measles)
masked_esca (1034).JPG,Grape___Esca_(Black_Measles)
masked_esca (339).JPG,Grape___Esca_(Black_Measles)
masked_esca (246).JPG,Grape___Esca_(Black_Measles)
masked_esca (864).JPG,Grape___Esca_(Black_Measles)
masked_esca (502).JPG,Grape___Esca_(Black_Measles)
masked_esca (295).JPG,Grape___Esca_(Black_Measles)
masked_esca (687).JPG,Grape___Esca_(Black_Measles)
masked_esca (1062).JPG,Grape___Esca_(Black_Measles)
masked_esca (1171).JPG,Grape___Esca_(Black_Measles)
